,title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url,Job
1594,Рекрутер,250000 KZT,Алматы,Disketa.kz,06-07-2023,Высшее образование. Опыт успешной работы в аналогичной должности от 1 года. Владение современными технологиями поиска. ПК - продвинутый пользователь. ,"Активный поиск и подбор персонала. Проведение собеседований и тестирование кандидатов, оценка профессиональных и личностных качеств, проверка рекомендаций. Работа с источниками...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83116029,Recruiter
1595,Рекрутер (Специалист по подбору персонала),,Астана,WeFind,05-07-2023,"Средне-специальное/высшее образование. Опыт работы по поиску и подбору персонала не менее 1 года. Коммуникативные навыки, стрессоустойчивость, умение работать...",Подбор персонала. Оценка кандидатов по компетенциям. Проведение собеседований. Работа с заказчиками. Поиск линейного персонала. Контроль сроков и качества закрытия вакансий. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83023906,Recruiter
1596,Рекрутер / Менеджер по подбору персонала на дому,70000 RUR,Уральск,Персонал Ресурс,22-07-2023,Возможность вести самостоятельный поиск линейного персонала. Готовность закрывать от 15 вакансий в месяц. Аналогичный опыт работы.,"Самостоятельный поиск линейного персонала (грузчики, комплектовщики, упаковщики, кладовщики и т.д.) на объекты в Москве, Московской области и в регионы...",,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/83678739,Recruiter
1597,Рекрутер / Менеджер по подбору персонала на дому,80000 RUR,Аксай (Казахстан),Персонал Ресурс,23-07-2023,Возможность вести самостоятельный поиск линейного персонала. Готовность закрывать от 15 вакансий в месяц. Аналогичный опыт работы.,"Самостоятельный поиск линейного персонала (грузчики, комплектовщики, упаковщики, кладовщики и т.д.) на объекты в Москве, Московской области и в регионы...",,От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/83550317,Recruiter
1598,Рекрутер,200000 KZT,Алматы,Hard skills foundation,24-07-2023,"Профильное образование будет преимуществом (психолог, юрист, педагогическое). Опыт от 1 до 3 лет на позициях рекрутера массовика. Знание систем автоматизации...",Поиск и подбор линейного персонала (массовый наем). Составление портрета соискателя. Адаптация сотрудника на время испытательного периода. Телефонное интервью и предварительное...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83913771,Recruiter
1599,Специалист по подбору персонала,,Алматы,Аванта Казахстан,05-07-2023,"Опыт работы на аналогичной должности не менее 1 года. Опыт работы в кадровом агентстве будет преимуществом. Коммуникабельность, проактивность, ответственность, стрессоустойчивость...","Поиск и подбор персонала (IT, бухгалтерия, логистика, маркетинг, производство, административные позиции и т.д.). Работа с работными сайтами, социальными сетями...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81564335,Recruiter
1600,Рекрутер,,Астана,"Олимп КДЛ, ТМ (ТОО Мырза Хан)",21-07-2023,"Обязательно: высшее образование (психология, менеджмент, юриспруденция). Желателен опыт работы рекрутером. Эмпатия.",Подбор персонала по различным каналам. Адаптация вновь прибывших сотрудников. Проводить анализ рынка труда. Помогать в сборе документов. Консультировать сотрудников.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83389559,Recruiter
1601,Специалист по поиску и подбору персонала (рекрутер),,Астана,BI-Development (ТМ BI GROUP),29-06-2023,"Высшее образование. Опыт работы на аналогичной позиции не менее 1 года. Знание MS Office, Outlook, Система ERP,1С Документооборот. ","Взаимодействие с внутренним клиентами (нанимающими менеджерами) для выявления основных требований, предъявляемых к кандидатам и деталей профиля должности. Разработка стратегии поиска. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82740817,Recruiter
1602,Начинающий менеджер по подбору персонала,100000 - 120000 KZT,Петропавловск,Рекрутинговая компания Вектор,22-07-2023,Грамотной устной речью и четкой дикцией. Желанием общаться и помогать людям. Стремлением к развитию вместе с нами. Уверенными навыками работы...,Принимать звонки от кандидатов или звонить по теплым откликам. Проводить телефонное интервью. Записывать на собеседование/переносить собеседование. Анкетировать/тестировать. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83373118,Recruiter
1603,Младший специалист по подбору персонала,,Алматы,"“QSR” ,ТМ BURGER KING",27-06-2023,"Высшее образование. Более 1 года на аналогичной позиции. Знание казахского языка. Уверенный пользователь ПК, Excel, MS Office. Outlook. ",Контроль и закрытие линейных позиций (массовый подбор). Проведение телефонных интервью. Поиск альтернативных инструментов поиска персонала. Подготовка аналитики по рекрутингу и...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81533331,Recruiter
1604,Помощник HR-менеджера (рекрутер),,Шымкент,"Отау Строй, ТОО",24-07-2023,Наличие высшего образования. Опыт работы по профилю не менее от 1 года. Знание современных инструментов поиска и подбора персонала. ,"Активный рекрутинг, формирование команды. Выстраивание стратегии поиска кандидатов. Точечный подбор и оценка кандидатов. Адаптация и сопровождение новичков, помощь бизнесу в...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83310227,Recruiter
1605,HR менеджер (рекрутинг),,Алматы,i see real,05-07-2023,"Опыт работы на аналогичной позиции от 2-х лет. Коммуникабельность, способность понимать людей и разбираться в них. Желание обучать людей...",Ведение кадрового делопроизводства в соответствии с трудовым законодательством РК. Формирование и ведение личных дел сотрудников. Подбор персонала и организация процессов...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83005326,Recruiter
