title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Product manager медицинских IT проектов,,Астана,iDala,26-06-2023,"В своей работе мы стараемся использовать самые инновационные средства, подходы и методики, постоянно развиваемся, быстро принимаем решения и никогда не...","Постоянно взаимодействует с командой, ставит задачи, решает текущие проблемы, поддерживает мотивацию, привлекает аутсорс-<highlighttext>специалистов</highlighttext> при загрузке основной команды. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82384126
IT-специалист,200000 - 250000 KZT,Алматы,Юридическое агентство Правозащита,24-07-2023,"1. Отличное знание операционных систем и программных продуктов Microsoft, пакета Office, базовые знания по семейству протоколов TCP/IP. 3. ","1. Установка, настройка и администрирование операционных систем и сетевого программного обеспечения, рабочих станций, антивирусного программного обеспечения. 2. Администрирование информационных систем...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83909362
Менеджер по продажам IT услуг,,Алматы,Первый БИТ,04-07-2023,"Опыт работы в продажах. Нацеленность на профессиональное развитие, результат и высокий доход. Умение выстраивать коммуникацию и быстро обучаться. ","...предложения, акции, мероприятия). Встречи и демонстрации по необходимости. Организация выездных работ IT-<highlighttext>специалистов</highlighttext> по запросу клиента. Полное документальное сопровождение сделки.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/81709418
IT-специалист,,Астана,Home Credit Bank,03-07-2023,,,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82917813
Технический специалист (IT),180000 - 250000 KZT,Экибастуз,Sulpak,21-07-2023,Образование или опыт работы в сфере IT. Желание работать с людьми. Желание учиться новому.,"Установка программного обеспечения. Кассовые операции. Настройка цифровой техники. Оформление доставки и установки товара. Оформление возврата, обмена товара. Выдача интернет-заказов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83804332
IT рекрутер,,Алматы,One technologies,23-07-2023,Опыт проведения собеседований на различные вакансии (от <highlighttext>специалистов</highlighttext> до менеджеров высшего звена) желательно с применением интервью по компетенциям. ,Подбор персонала на позиции разного уровня(business/IT). Эффективное взаимодействие с интервьюерами. Сопровождение кандидатов на всех этапах подбора. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83554357
Специалист по IT,220000 - 220000 KZT,Астана,Astek-auto,11-07-2023,Опыт работы на аналогичной должности не менее 1 года. Приветствуется опыт работы с системами видеонаблюдения. Профильное образование в сфере IT...,"Осуществлять бесперебойную техническую и программную поддержку сотрудников. Обеспечивать работу оборудования (компьютеры, принтеры, сетевые устройства). Осуществлять установку и настройку программного обеспечения. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83258848
Специалист по IT,,Усть-Каменогорск,Аграрная кредитная корпорация,11-07-2023,"Высшее или среднее специальное образование по заявленной специальности. В профессиональной сфере или в областях, соответствующих функциональным направлениям должности – стаж работы...",Создание программного обеспечения для решения поставленных задач. Разработку операционных систем и оболочек для баз данных. Техническую поддержку и сопровождение ПО...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83289454
Специалист по продажам в категории IT Департамента Коммерции,,Алматы,TECHNODOM Operator (Технодом Оператор),21-07-2023,"Высшее образование. Опытный пользователь ПК, Excel, Power Point. Аналитические способности: анализ продаж, рынка, трендов, прогнозирование. Коммуникабельность, адаптивность, стрессоустойчивость, обучаемость.","Качественное распределение товаров курируемых категорий по магазинам с учетом продаж, логистики, частоты поставок. Умение планировать объемы для оптимальной транспортировки. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83800803
IT рекрутер,,Алматы,Ventra,05-07-2023,"Высшее образование. Опыт в сфере ИТ подбора от 2х лет. Знание английского языка. Рассмотрим кандидатов, которые находятся сейчас за...","Поиск <highlighttext>специалистов</highlighttext> в ИТ-сфере (позиции от стажеров до том-менеджмента) за рубежом. Анализ рынка, определение стратегии поиска (применение различных...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83019517
"Специалист IT по раскрутке строительного магазина, ведению и продвижению сайта",200000 - 200000 KZT,Астана,Damustroi,03-07-2023,Знания 1С бухгалтерий.,"Ведение и продвижения сайта строительного магазина,Ведение площадки сату,Каспий магазина,Инстаграм акаунта,привлечение новых клиентов.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82890187
Технический специалист (IT),230000 - 330000 KZT,Астана,Sulpak,29-06-2023,Образование или опыт работы в сфере IT. Желание работать с людьми. Желание учиться новому.,"Установка программного обеспечения. Кассовые операции. Настройка цифровой техники. Оформление доставки и установки товара. Оформление возврата, обмена товара. Выдача интернет-заказов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82723186
Специалист по IT,150000 - 300000 KZT,Павлодар,Ваш Домофон,24-07-2023,,"Настройка сетевого оборудования (Asus, Mikrotik,Ubiquiti). Обслуживание ПК, оргтехники. Обслуживание систем Видеонаблюдения и IP домофонии. Выполнение поставленных задач.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82497988
Менеджер программ и коммерциализации в образовательном IT проекте,,Астана,Корпоративный фонд Международный технопарк IT-стартапов «Astana Hub»,24-07-2023,"Человека с базовыми навыками дизайна и отличными презентационными навыками. Исполнителя, знающего методологию Agile и Scrum. Многоязычного <highlighttext>специалиста</highlighttext> (казахский, русский, английский).",Организация и сопровождение образовательных программ. Продажа образовательных программ через каналы B2B/B2C. Мониторинг текущих процессов и...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83910951
Специалист по IT,100000 - 200000 KZT,Атырау,М-Системс групп,12-07-2023,Знание компьютерного железа. Знание 1С. Знание серверов. Мини АТС.,"Ремонт компьютеров. Восстановление систем. Прокладка,монтаж СКС.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83334474
