title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR / Международный Рекрутер,150000 - 350000 KZT,Алматы,NEUPUSTI,09-07-2023,Развиваете активную корпоративную жизнь и устраиваете мероприятия. #Неупусти свою возможность. Лучшие должны держаться вместе!,Проводите групповые и индивидуальные собеседования.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/81803191
Заместитель Руководителя подбора персонала,300000 - 550000 KZT,Алматы,Мир Квартир,17-07-2023,"Активность. Ответственность. Опыт коммуникаций с клиентами, продажи, услуги, сервис и тд. Грамотная речь и хорошая скорость. Образование и обучаемость.","Качество и своевременность в найме персонала. Использовать разные источники для подбора персонала - таргет, личный бренд. Проект личные и кураторство.",,Нет опыта,Полная занятость,https://hh.ru/vacancy/80477947
Рекрутер/специалист по подбору персонала,1000 USD,Алматы,АСБИС Казахстан,12-07-2023,"Опыт работы Рекрутером от 2-х лет в крупной/динамичной компании (FMCG, Premium Retail или быстрорастущем стартапе. Ведение всего цикла...","Тесное взаимодействие с hiring менеджерами (обсуждение профиля должности, этапов собеседований). Проведение телефонных и face2face интервью, оценка профессиональных и...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83354433
IT рекрутер,,Алматы,Khan Group,08-07-2023,Вы имеете опыт подбора в IT рекрутинге от 6 месяцев. Обладаете знаниями и навыками оценки soft skills. Умеете вести переговоры...,"Активное закрытие вакансий в IT. Общение с внутренними заказчиками - обсуждение вакансий, предоставление резюме. Организация собеседований с заказчиком. Подготовка оффера. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82120777
Рекрутер,200000 - 200000 KZT,Астана,TapTatti Retail,20-07-2023,Опыт работы от 1 года. Знание казахского и русского языка. Уверенный пользователь ПК.,Поиск и подбор кандидатов. Проведение первичного интервью. Проведение кандидата через все этапы рекрутинга. Предоставление обратной связи кандидату в случае отказа. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83364766
HR менеджер / рекрутер,300000 - 670000 KZT,Алматы,АГЕНТСТВО НЕДВИЖИМОСТИ МЕЧТА,29-06-2023,"Отбор резюме по необходимым критериями, проведение собеседований, предварительный отбор кандидатов для приема на работу, тестирование кандидатов на выявление способностей, мотивации...","Написание объявлений о найме, размещение объявлений. Холодный поиск потенциальных кандидатов на должности, организация и проведение различных мероприятий по найму (конкурсы...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82749028
IT рекрутер,,Алматы,One technologies,23-07-2023,"Высшее образование, дополнительное обучение в сфере HR приветствуется. Опыт работы в сфере подбора IT персонала от 2-х лет или...",Подбор персонала на позиции разного уровня(business/IT). Эффективное взаимодействие с интервьюерами. Сопровождение кандидатов на всех этапах подбора. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83554357
Менеджер по подбору персонала,,Астана,BI GLOBAL,02-07-2023,"Высшее образование. Знание и опыт использование на практике, методов и инструментов подбора персонала. Опыт работы в рекрутинге от 2-х...","Подбор персонала, рекрутинг. (Активный найм, от специалистов до топ позиций). Сопровождение кандидата на всех этапах отбора. Адаптация новых сотрудников. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/81439197
Рекрутер в отдел кадров,150000 - 250000 KZT,Усть-Каменогорск,K-Service,10-07-2023,Ответственность. Можно без опыта.,Подготовка текстов вакансий и их размещения на специализированных сайтах. Подбор кандидатов. Мониторинг рынка труда. Формирование кадрового резерва.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83190242
HR-специалист/Рекрутер,200000 - 400000 KZT,Кокшетау,Комаров А.С,26-06-2023,"Знание ТК РК, основ психологии, риторики, логики, этики и культуры межличностного общения. Знание средств и способов убеждения собеседников, основы мотивации...","Поиск, формирования вакансий, публикация их на всех интернет ресурсах и соц сетях. Своевременное закрытие позиции. Формирования базы данных вакансий. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82373321
Ведущий специалист по подбору персонала,,Алматы,TECHNODOM Operator (Технодом Оператор),20-07-2023,"Идеальный кандидат на эту позицию должен обладать не только опытом и большим набором профессиональных навыков, но и отличной стрессоустойчивостью, которая...","Поиск лучших кандидатов. Определение релевантной стратегии поиска кандидатов с использованием различных ресурсов (job-сайты, профессиональные сообщества, социальные сети, прямой поиск...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83759385
Специалист по подбору персонала,,Алматы,Free Line Retail,24-07-2023,Высшее или среднее-специальное образование. Опыт работы на аналогичной позиции не менее 1 -го года. Опыт работы в подборе персонала. ,"Подбор персонала. Проведение телефонных, личных интервью. Массовый рекрутинг. Участие в программах адаптации, программах стажировки и наставничества. Участие во всех HR...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83518397
IT рекрутер,,Алматы,Ventra,05-07-2023,"Высшее образование. Опыт в сфере ИТ подбора от 2х лет. Знание английского языка. Рассмотрим кандидатов, которые находятся сейчас за...","Поиск специалистов в ИТ-сфере (позиции от стажеров до том-менеджмента) за рубежом. Анализ рынка, определение стратегии поиска (применение различных...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83019517
Менеджер по подбору персонала,,Алматы,Эфко Алматы,10-07-2023,"Высшее образование. Уверенный пользователь ПК (Word, Excel, Power Point). Коммуникабельность, стрессоустойчивость, готовность работать на результат в сжатые сроки, готовность к...",Подбор персонала на вакантные должности в компании. Координация этапов отбора кандидатов внутри структурных подразделений компании. Формирование кадрового резерва Компании. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83189266
Специалист по подбору персонала (рекрутер),250000 - 250000 KZT,Алматы,NEKA TRADE,01-07-2023,"Умение самостоятельно принимать решения и нести за них ответственность. Аналитическое мышление. Коммуникабельность. Грамотное деловое общение (устное, письменное).",Формирование текста вакансии и размещение на ресурсах. Поиск и отбор резюме. Проведение собеседования по телефону/групповых собеседований/индивидуальных. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82867283
Специалист по подбору персонала,,Алматы,ASTER AUTO,12-07-2023,Опыт работы на аналогичной позиции будет преимуществом (всему научим если нет опыта). Знание русского и казахского языков в совершенстве. ,"Полный цикл рекрутинга (mass, expert, закрытие вакансий головного офиса и регионов РК). Регулярная отчетность по результатам рекрутинга и контроль обучения. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83311551
Рекрутер,300000 - 400000 KZT,Усть-Каменогорск,KazInvestStroy,26-06-2023,"Высшее образование. Опыт работы не менее одного года. Знание современных инструментов подбора персонала. Внутренняя организованность, проницательность, коммуникабельность, стремление к саморазвитию. ","Массовый подбор линейного персонала (механизаторы, строители), состав ИТР. Организация и проведение собеседований с кандидатами. Искать новые источники и методы по...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82374067
Специалист по подбору персонала/Рекрутер (удаленно),,Алматы,Казфосфат,19-07-2023,"Высшее образование (инженерное, филологическое, психологическое). Опыт работы в качестве рекрутера не менее 3 (трех) лет на производстве. Знание казахского языка...","Прямой поиск, обработка откликов. Размещение сведений о вакансиях в средствах массовой информации. Осуществление проверки информации о кандидатах на вакантные должности. ",,От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/83689963
Рекрутер / менеджер по подбору персонала,200000 - 500000 KZT,Алматы,Workle Pro,23-07-2023,"Приветствуется опыт работы в подборе персонала. Опыт массового подбора будет являться преимуществом. Хорошие коммуникативные навыки, грамотная речь. Ответственность, доброжелательность.",Массовый подбор линейного персонала (водители такси). Организация потока кандидатов. Рассказ кандидату об условиях вакансии. Ведение учета кандидатов – внесение в базу...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/83440979
