title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR менеджер,,Астана,CeZar group,23-07-2023,Знать методики поиска и подбора персонала. Знать трудовое законодательство РК. Кадровое делопроизводство. Уметь оценивать потенциал и личные качества кандидатов. ,"Вести кадровое делопроизводство. Заниматься адаптацией, обучением и развитием сотрудников. Разрабатывать и реализовывать мероприятия по развитию и поддержанию корпоративной культуры. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83730022
HR менеджер,250000 - 500000 KZT,Алматы,АГ ТЕХНОЛОДЖИ,19-07-2023,Активность. Общительность. Желание расти и развиваться.,Размещение вакансий компании. Отбор кандидатов согласно требованиям. Проведение телефонных интервью с потенциальными кандидатами. Проведение очных интервью в офисе компании. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/82906224
HR менеджер,190000 - 190000 KZT,Павлодар,Крендель,10-07-2023,"Опыт работы в данной сфере не менее 1 года. Доброжелательность, активность и исполнительность. Креативный подход к решению задач. Само организованность.",Организовывать и контролировать мероприятия по подбору персонала. Участвовать в собеседованиях по телефону и лично. Организовывать процесс адаптации. Разработка должностных и...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83229029
"HR менеджер, USA",600 USD,Алматы,DELTA EXPRESS INTERNATIONAL (ДЕЛЬТА ЭКСПРЕСС ИНТЕРНЭШНЛ),21-07-2023,Отличные коммуникативные навыки и ответственность. Английский язык на уровне В2 и выше. Ваше желание личностного и профессионального роста.,Поиск и подбор кандидатов (работа с рынком США). Проведение интервью (онлайн). Ведение базы данных. Сбор и обработка документов. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83345879
HR Business Partner,,Алматы,BAT Kazakhstan,05-07-2023,University degree. Minimum of 3 years of experience with similar tasks. Excellent verbal and written communication skills. Ability to comprehend...,"Training and briefing line managers on recruitment process, skills development, mentoring and career development. Conducting the processes of planning the...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83034245
HR менеджер,,Алматы,ПРЕДСТАВИТЕЛЬСТВО UNIPHARM LABORATORIES LIMITED (ЮНИФАРМ ЛАБОРАТОРИЗ ЛИМИТЕД) В РК,11-07-2023,"Опыт работы HR general (<highlighttext>HR</highlighttext> <highlighttext>специалист</highlighttext>, HRM, HRBP) от 5 лет. Уверенное знание трудового законодательства РК и опыт ведения кадрового...","Качество. Функционал: Кадровое делопроизводство. Работа с личными данными - введение данных о приеме, перемещениях, заработной плате, табеле посещаемости в ЗУП, ЕСУТД. ",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/83252600
HR-специалист,150000 - 200000 KZT,Алматы,Tredo,24-07-2023,Грамотная устная и письменная речь. Позитивный настрой. Внимание к деталям. Умение работать с MS Office.,Помощь в организации мерчандайзинга компании. Работа с кадровым делопроизводством. Функции офис-менеджера. Организация тимбилдингов. Поддержание позитивного настроя в коллективе. ,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83936686
Менеджер по персоналу (HR generalist) / Специалист по кадровому делопроизводству,250000 - 350000 KZT,Алматы,Милдом Отель,21-07-2023,"Опыт работы от 3-х лети более. Знание, как подбирать и оценивать персонал. Стратегическое мышление. Высокие коммуникативные навыки. Организаторские способности. ","Рекрутинг (сюда входит просмотр резюме на job-порталах, работа с откликами, общение с кандидатами, проведение собеседований, составление job offer и...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83793326
HR менеджер,350000 - 400000 KZT,Алматы,МИРТЕК,23-07-2023,"Знание основных направлений деятельности HR. Опыт работы на должности рекрутера/<highlighttext>менеджера</highlighttext> <highlighttext>по</highlighttext> <highlighttext>персоналу</highlighttext> от 2 лет. Опытный пользователь Excel, платформ...","Мониторинг рынка труда в сфере профессиональной деятельности Компании. Согласование кадрового плана с руководителем, определение сроков закрытия вакансий. Составление и публикация...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83567144
Senior HR Administration Specialist,,Алматы,"Deloitte, Caspian Region",27-06-2023,Higher education. Experience in HR Administration at least 3 years. SAP knowledge is a must. Strong knowledge of the Labor...,Supervise overall HR Administration process. Supervise effective work of HR Admin specialists in accordance with the quality and deadlines criteria. ,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82553864
HR менеджер (отдел кадров),,Атырау,BAIZAAR MALL,10-07-2023,"Опыт работы от 4 лет. Знание 1С ЗУП. Отличное знание ТК РК. Исполнительность, внимательность.","Ведение КПД в полном объеме, работа с 1С ЗУП. Поиск и подбор персонала. Взаимодействие с отделом бухгалтерии, внутренними отделами...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83229982
HR Lead (HRBP / People Partner),,Атырау,KIVORK,10-07-2023,Experience coaching senior leaders and <highlighttext>managers</highlighttext>. Good understanding of <highlighttext>HR</highlighttext> functions and best practices. Experience in process automation; crisis management...,"Act as a point of contact and advisor for managers on all people related topics. Build relationships with managers, support...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83235649
Бухгалтер / HR-менеджер,350000 KZT,Алматы,Cyber TV Stream,09-07-2023,Грамотная устная и письменная речь на русском языке. Обязателен опыт работы в отделе кадров. Высшее образование бухгалтерский учет/кадровое дело. ,"Первичная документация, авансовая отчетность, систематизация документов. Обработка документов сотрудников, своевременная подача в миграционные службы, заполнение АВР и т.д. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83181074
Ведущий HR менеджер/ Рекрутер,,Шымкент,"Отау Строй, ТОО",21-07-2023,Наличие высшего образования. Опыт работы по профилю не менее 3 лет. Знание современных инструментов поиска и подбора персонала. ,"Выявлять потребности бизнеса и решать все задачи в зоне HR. Построение HR - бизнес-процессов, регламентов и процедур. Активный рекрутинг, формирование...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83614131
Рекрутер/Специалист по подбору персонала/HR-менеджер,200000 - 300000 KZT,Алматы,Керемет (ЖАНТЕЛИЕВ Б.Д.),04-07-2023,"Кандидат любящий свою работу, в сфере найма персонала. — Знание казахского языка. — Быть позитивным и общительным человеком. — Умение находить общий язык...","Составление вакансий, поиск и привлечение кандидатов на открытую позицию. — Стажировка и адаптаций сотрудников на рабочем месте. — Контроль выполнение задач. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82366755
